"X1" "X2" "X3" "X4" "X5"
"LATITUDE" 0.251700115299404 0.25187910739234 0.251577186284068 0.249110220263939 0.251492669688399
"LONGITUDE" 0.248570762255817 0.248969089907169 0.245822868383895 0.245514561379413 0.247663011233192
"ELEVATION" 0.239824908916787 0.2118940031765 0.174158378931003 0.191993986710231 0.22305347160144
"TMAX" 0.231461346396321 0.192375033325183 0.149790108569722 0.172684811046125 0.209083179443013
"TMIN" 0.24936791037966 0.252355135318687 0.253473830808069 0.251134487397027 0.25026080070452
"del_TT_Deg_Celsius" 0.248592462143901 0.239096620213729 0.222722416403874 0.229429077760257 0.245137320251376
"DMI" 0.250911171101813 0.248771285062193 0.24142636880405 0.244858073842807 0.247210297008955
"Nino34" 0.249689650993226 0.250211598400991 0.252965264667941 0.250555012479419 0.249216583378459
"u_wind_200" 0.248236554934693 0.249593385381654 0.252259054248728 0.248090068526427 0.250740801681787
"u_wind_600" 0.248770731314224 0.25081691209213 0.249072703964938 0.24789225113111 0.249583443377393
"u_wind_850" 0.249131998614584 0.250314583595491 0.24617465673368 0.245655377931408 0.249644790139063
"v_wind_200" 0.24923020692867 0.250689613123541 0.252038278219997 0.24939710560219 0.248874668413575
"v_wind_600" 0.248479520140517 0.249891021754596 0.251383983598879 0.250870111710126 0.24852052486722
"v_wind_850" 0.246912267616229 0.246620079673332 0.241507670848994 0.243344609285629 0.24679302445388
"X20E" 0.2634377744374 0.262482360018936 0.26528882545596 0.263530317114837 0.260583566162816
"X70E" 0.25949905526641 0.259862438360848 0.254818522735094 0.256977018247764 0.258609888924139
"X80E" 0.263976722298803 0.253851213956352 0.235031172753435 0.245337599799 0.258139378607041
"X100E" 0.259872240589229 0.253305775978575 0.23963784784099 0.247960746925126 0.256489375227186
"X120E" 0.255626031673806 0.246808771726164 0.227718449088193 0.237086173036469 0.249733058335668
"X140E" 0.256069405566907 0.259612790277862 0.26274794097139 0.259863069216292 0.257998917578051
"X160E" 0.260807904842254 0.262086206339316 0.264609207321684 0.261060213123365 0.26018462582594
"X120W" 0.266682696800114 0.267587202268839 0.267676621040883 0.263628413379991 0.267220968241132
"X40W" 0.253907862848829 0.244826525478507 0.224581016838075 0.23534927560867 0.249296799061808
"X10W" 0.258853025038989 0.261609988756439 0.25653587492328 0.256207059930577 0.259080485519034
"NAO" 0.249974712679317 0.251574711439062 0.249973095950387 0.248961047091088 0.248158226307249
"EA" 0.25307290260165 0.254189472358744 0.251928175392828 0.25434713876155 0.252066588973013
"WP" 0.250172116462264 0.253901707349547 0.249417480522895 0.250596018626174 0.250352047748359
"EPNP" 0.250726862783431 0.251364884229261 0.243648273293096 0.245931314479655 0.250737075101695
"PNA" 0.256379074153087 0.260124608174094 0.261660038885917 0.25920490282842 0.256199207495336
"EAWR" 0.248181515082991 0.250350146588973 0.252232804718789 0.246999743710712 0.248162240485414
"SCA" 0.252865054532153 0.256299587986585 0.258001799502903 0.255565551734726 0.254514234635417
"TNH" 0.254477927335406 0.255064021331717 0.252954541750734 0.252634369704338 0.253409062728709
"POL" 0.250273110994764 0.255877896866623 0.25894173345586 0.254799040090863 0.252081618259371
"full" 0.250592220264549 0.253665222756109 0.254404445174976 0.253383070672392 0.250457382461208
