 PENTAD       20E      70E      80E     100E     120E     140E     160E     120W      40W      10W
19781119     0.97     0.18     0.02    -0.64    -1.06    -1.19    -0.68     0.18     0.78     1.13
19781124     0.95     1.16     1.16     0.71     0.12    -0.63    -1.19    -1.02    -0.52     0.16
19781129     0.80     1.50     1.71     1.35     0.70    -0.29    -1.36    -1.56    -1.15    -0.37
19781204    -0.59     0.77     0.95     1.53     1.64     1.20    -0.06    -1.18    -1.63    -1.55
19781209    -1.47    -0.82    -0.59     0.21     0.90     1.42     1.27     0.40    -0.44    -1.16
19781214    -0.88    -1.50    -1.45    -1.17    -0.59     0.32     1.30     1.46     1.06     0.29
19781219    -0.52    -0.98    -1.01    -0.84    -0.47     0.15     0.84     1.00     0.76     0.26
19781224     0.18    -0.92    -1.05    -1.39    -1.32    -0.76     0.38     1.21     1.41     1.15
19781229     1.96     0.81     0.39    -0.73    -1.57    -2.05    -1.50    -0.14     0.98     1.83
19790103     0.87     1.27     1.33     0.93     0.34    -0.47    -1.22    -1.21    -0.76    -0.06
19790108    -0.08     0.64     1.00     1.01     0.81     0.33    -0.44    -0.88    -0.93    -0.70
19790113     0.62     1.66     1.90     1.71     1.11     0.04    -1.33    -1.83    -1.56    -0.78
19790118     0.73     2.02     2.28     2.09     1.39     0.10    -1.58    -2.22    -1.92    -0.98
19790123    -1.51    -0.27     0.28     1.10     1.62     1.74     0.91    -0.36    -1.23    -1.74
19790128    -1.04    -0.66    -0.38     0.12     0.58     0.96     0.92     0.38    -0.19    -0.72
19790202    -0.40    -0.35    -0.17    -0.04     0.13     0.32     0.39     0.26     0.06    -0.17
19790207    -0.89    -0.99    -0.78    -0.44     0.01     0.60     1.01     0.83     0.39    -0.21
19790212    -0.48    -1.38    -1.41    -1.39    -0.98    -0.13     1.02     1.51     1.34     0.72
19790217    -0.37    -0.95    -0.90    -0.90    -0.63    -0.06     0.72     1.03     0.90     0.46
19790222    -0.23    -0.51    -0.51    -0.46    -0.28     0.04     0.42     0.54     0.44     0.19
19790227     0.15    -0.17    -0.15    -0.35    -0.41    -0.32    -0.02     0.27     0.39     0.38
19790304     0.24    -0.23    -0.34    -0.52    -0.56    -0.41     0.00     0.39     0.55     0.54
19790309     0.91     0.16    -0.13    -0.64    -0.97    -1.06    -0.56     0.22     0.76     1.06
19790314     1.52     0.72     0.56    -0.37    -1.11    -1.60    -1.29    -0.25     0.66     1.36
19790319     0.51     1.08     1.08     0.96     0.60    -0.05    -0.84    -1.08    -0.88    -0.36
19790324    -1.06    -0.24     0.10     0.68     1.07     1.20     0.70    -0.15    -0.76    -1.15
19790329     0.02    -0.61    -0.65    -0.81    -0.73    -0.35     0.32     0.76     0.83     0.63
19790403    -0.15    -0.58    -0.70    -0.67    -0.48    -0.10     0.43     0.67     0.62     0.36
19790408    -0.40    -1.47    -1.49    -1.56    -1.19    -0.31     0.99     1.64     1.54     0.92
19790413     2.31     0.92     0.31    -0.92    -1.86    -2.39    -1.70    -0.11     1.19     2.17
19790418     1.27     2.23     2.22     1.80     0.95    -0.41    -1.89    -2.17    -1.60    -0.47
19790423    -0.96     0.79     0.98     1.88     2.18     1.74     0.18    -1.37    -2.08    -2.10
19790428    -1.70    -1.00    -0.66     0.22     1.01     1.61     1.47     0.51    -0.44    -1.29
19790503    -0.80    -1.66    -1.56    -1.44    -0.92     0.05     1.27     1.67     1.36     0.57
19790508     0.30    -0.74    -0.90    -1.27    -1.27    -0.81     0.21     1.02     1.29     1.13
19790513     1.23     0.43     0.07    -0.62    -1.12    -1.35    -0.88     0.03     0.74     1.23
19790518     1.69     1.50     1.35     0.43    -0.50    -1.44    -1.80    -1.12    -0.19     0.82
19790523     0.44     1.26     1.48     1.32     0.86     0.05    -1.00    -1.38    -1.19    -0.61
19790528    -0.66     0.71     0.98     1.56     1.67     1.23    -0.03    -1.18    -1.65    -1.59
19790602    -1.50     0.04     0.48     1.45     1.98     1.94     0.80    -0.71    -1.63    -2.05
19790607    -2.19    -1.30    -0.76     0.32     1.29     2.04     1.85     0.64    -0.56    -1.64
19790612    -1.51    -1.48    -1.08    -0.51     0.20     1.04     1.52     1.11     0.37    -0.56
19790617    -0.81    -1.74    -1.60    -1.52    -1.00     0.02     1.31     1.76     1.46     0.64
19790622     0.22    -1.02    -1.18    -1.55    -1.47    -0.86     0.40     1.32     1.56     1.28
19790627     0.82    -0.12    -0.31    -0.89    -1.19    -1.13    -0.41     0.49     1.02     1.22
19790702     1.25     1.03     0.78     0.19    -0.42    -1.02    -1.21    -0.70    -0.04     0.66
19790707     0.21     1.36     1.39     1.58     1.31     0.51    -0.81    -1.57    -1.59    -1.07
19790712    -0.96     0.66     1.03     1.77     1.99     1.56     0.13    -1.25    -1.89    -1.93
19790717    -0.81     0.40     0.62     1.26     1.50     1.26     0.25    -0.82    -1.37    -1.47
19790722    -1.64    -0.82    -0.49     0.41     1.15     1.65     1.34     0.30    -0.64    -1.40
19790727    -0.65    -0.97    -0.86    -0.68    -0.31     0.26     0.84     0.89     0.60     0.08
19790801     0.85    -0.01    -0.21    -0.81    -1.13    -1.12    -0.47     0.40     0.93     1.16
19790806     2.18     1.11     0.73    -0.54    -1.56    -2.25    -1.83    -0.41     0.84     1.86
19790811     1.84     2.19     1.98     1.18     0.13    -1.20    -2.20    -1.88    -0.95     0.34
19790816     1.11     2.09     2.07     1.78     1.02    -0.27    -1.74    -2.12    -1.63    -0.58
19790821    -1.25     0.59     1.01     1.95     2.30     1.92     0.36    -1.29    -2.11    -2.26
19790826    -2.09    -0.18     0.36     1.70     2.48     2.57     1.23    -0.71    -1.97    -2.63
19790831    -1.98    -0.46    -0.03     1.20     2.01     2.28     1.34    -0.30    -1.47    -2.21
19790905    -1.57    -0.45    -0.18     0.81     1.50     1.80     1.15    -0.10    -1.05    -1.67
19790910    -1.18    -0.69    -0.50     0.18     0.75     1.18     1.04     0.33    -0.35    -0.93
19790915    -1.53    -0.89    -0.64     0.24     0.98     1.53     1.36     0.44    -0.44    -1.20
19790920    -1.18    -1.27    -1.11    -0.61     0.03     0.80     1.32     1.05     0.46    -0.33
19790925     0.83    -0.72    -0.96    -1.71    -1.93    -1.51    -0.13     1.22     1.82     1.83
19790930     2.54     1.14     0.56    -0.86    -1.96    -2.64    -2.01    -0.30     1.15     2.28
19791005     2.36     1.69     1.41     0.12    -1.10    -2.17    -2.28    -1.08     0.25     1.53
19791010     0.62     0.95     1.03     0.75     0.31    -0.31    -0.90    -0.94    -0.62    -0.09
19791015    -0.34     0.50     0.77     1.02     1.01     0.67    -0.13    -0.79    -1.02    -0.93
19791020    -0.94     0.60     1.09     1.74     1.92     1.50     0.13    -1.18    -1.79    -1.83
19791025    -0.95     0.07     0.30     0.96     1.32     1.29     0.52    -0.49    -1.10    -1.35
19791030    -0.69    -0.25     0.06     0.34     0.56     0.67     0.45     0.00    -0.36    -0.64
