 PENTAD       20E      70E      80E     100E     120E     140E     160E     120W      40W      10W
19840403    -1.63    -1.44    -1.23    -0.43     0.43     1.31     1.70     1.09     0.21    -0.78
19840408    -1.21    -1.61    -1.47    -1.02    -0.31     0.67     1.53     1.47     0.89    -0.03
19840413    -0.49    -1.57    -1.68    -1.67    -1.21    -0.24     1.13     1.74     1.58     0.88
19840418     0.45    -0.23    -0.40    -0.74    -0.86    -0.71    -0.13     0.48     0.78     0.83
19840423    -0.54    -0.32    -0.24     0.04     0.30     0.52     0.49     0.17    -0.14    -0.41
19840428    -0.98    -0.82    -0.80    -0.28     0.26     0.80     1.02     0.63     0.09    -0.50
19840503    -0.58    -0.76    -0.65    -0.47    -0.16     0.28     0.69     0.68     0.42    -0.02
19840508    -0.70    -0.58    -0.45    -0.12     0.23     0.57     0.68     0.39     0.02    -0.38
19840513    -0.60    -0.75    -0.71    -0.49    -0.15     0.32     0.73     0.69     0.40    -0.05
19840518    -0.32    -0.78    -0.71    -0.74    -0.54    -0.09     0.54     0.82     0.72     0.37
19840523     0.08    -0.65    -0.79    -0.96    -0.87    -0.45     0.32     0.85     0.95     0.75
19840528     0.11    -0.80    -0.94    -1.18    -1.09    -0.60     0.36     1.03     1.17     0.93
19840602     0.25    -0.30    -0.45    -0.65    -0.67    -0.47     0.05     0.50     0.66     0.62
19840607    -0.76    -0.70    -0.70    -0.29     0.16     0.62     0.84     0.56     0.13    -0.34
19840612    -0.55    -0.65    -0.57    -0.35    -0.05     0.34     0.64     0.54     0.27    -0.11
19840617     0.61     0.09    -0.08    -0.46    -0.68    -0.73    -0.37     0.16     0.52     0.72
19840622     0.80     0.00    -0.21    -0.75    -1.05    -1.04    -0.45     0.35     0.84     1.07
19840627     0.11    -0.04    -0.04    -0.15    -0.20    -0.19    -0.06     0.08     0.17     0.19
19840702    -0.34    -0.07    -0.08     0.20     0.38     0.45     0.28    -0.03    -0.26    -0.39
19840707    -1.11    -0.50    -0.31     0.35     0.86     1.16     0.89     0.13    -0.51    -1.00
19840712    -1.60    -1.46    -1.05    -0.40     0.36     1.20     1.59     1.07     0.26    -0.69
19840717    -0.46    -1.23    -1.20    -1.16    -0.80    -0.07     0.89     1.29     1.13     0.59
19840722     1.06     0.08    -0.18    -0.87    -1.28    -1.32    -0.63     0.37     1.02     1.36
19840727     0.09     0.03    -0.06    -0.08    -0.08    -0.08    -0.03     0.03     0.07     0.09
19840801    -0.24    -0.45    -0.39    -0.35    -0.21     0.05     0.37     0.47     0.38     0.15
19840806     1.36     0.45     0.15    -0.66    -1.24    -1.52    -1.02     0.01     0.81     1.38
19840811     0.86     0.66     0.49     0.07    -0.34    -0.73    -0.81    -0.43     0.03     0.51
19840816     0.33     0.42     0.31     0.20     0.03    -0.20    -0.37    -0.33    -0.18     0.04
19840821     0.85     0.35     0.15    -0.31    -0.66    -0.87    -0.63    -0.04     0.44     0.80
19840826     0.73     0.78     0.65     0.32    -0.07    -0.53    -0.81    -0.62    -0.25     0.22
19840831    -0.53    -0.37    -0.31    -0.03     0.23     0.47     0.49     0.23    -0.07    -0.35
19840905     0.13     0.00    -0.07    -0.11    -0.13    -0.12    -0.04     0.05     0.12     0.15
19840910    -0.35     0.53     0.56     0.98     1.08     0.79    -0.04    -0.79    -1.08    -1.01
19840915     0.09     0.92     1.10     1.18     0.96     0.37    -0.57    -1.11    -1.12    -0.77
19840920    -0.49     0.24     0.39     0.76     0.90     0.75     0.15    -0.48    -0.80    -0.87
19840925    -0.43    -0.79    -0.70    -0.64    -0.38     0.08     0.63     0.79     0.62     0.21
19840930     0.80    -0.04    -0.21    -0.76    -1.07    -1.06    -0.46     0.36     0.87     1.11
19841005     0.62    -0.02    -0.17    -0.59    -0.83    -0.82    -0.35     0.28     0.68     0.85
19841010     1.52     0.46     0.14    -0.77    -1.42    -1.71    -1.10     0.09     0.99     1.60
19841015     1.77     1.45     1.14     0.28    -0.61    -1.50    -1.76    -1.01    -0.05     0.96
19841020     1.01     0.92     0.88     0.32    -0.25    -0.85    -1.10    -0.70    -0.14     0.47
19841025     0.80     1.53     1.52     1.29     0.74    -0.19    -1.26    -1.52    -1.18    -0.43
19841030    -0.58     0.90     1.20     1.73     1.78     1.22    -0.16    -1.34    -1.77    -1.64
19841104    -0.89     0.21     0.52     1.11     1.39     1.26     0.38    -0.64    -1.20    -1.39
19841109    -1.95    -0.85    -0.32     0.71     1.52     2.01     1.49     0.19    -0.90    -1.75
19841114    -1.52    -1.59    -1.21    -0.65     0.09     1.01     1.61     1.26     0.52    -0.45
19841119    -0.18    -0.94    -0.96    -1.04    -0.83    -0.26     0.60     1.06     1.04     0.67
19841124    -0.23    -0.37    -0.42    -0.30    -0.12     0.13     0.36     0.37     0.25     0.05
19841129    -0.96    -1.24    -1.17    -0.78    -0.21     0.55     1.21     1.12     0.65    -0.07
19841204    -0.04    -1.08    -1.23    -1.40    -1.20    -0.54     0.59     1.29     1.37     0.99
19841209     0.29    -0.56    -0.73    -1.03    -1.04    -0.70     0.12     0.80     1.04     0.94
19841214     0.45    -0.20    -0.31    -0.69    -0.84    -0.74    -0.18     0.43     0.74     0.81
19841219     0.39     0.02    -0.11    -0.37    -0.51    -0.52    -0.24     0.15     0.39     0.51
19841224     0.41    -0.31    -0.40    -0.80    -0.93    -0.77    -0.13     0.53     0.83     0.86
19841229     1.31     0.87     0.66    -0.04    -0.69    -1.23    -1.22    -0.53     0.21     0.90
19850103     0.41     0.60     0.71     0.43     0.10    -0.32    -0.67    -0.61    -0.36    -0.01
19850108     0.21     0.58     0.71     0.61     0.37    -0.03    -0.51    -0.66    -0.54    -0.27
19850113    -0.22     0.92     1.20     1.45     1.32     0.71    -0.44    -1.26    -1.45    -1.19
19850118    -0.58     0.44     0.69     1.12     1.23     0.94     0.05    -0.80    -1.17    -1.20
19850123    -1.50     0.29     0.80     1.77     2.22     2.03     0.64    -0.99    -1.92    -2.26
19850128    -1.44    -1.07    -0.82    -0.10     0.61     1.26     1.38     0.71    -0.07    -0.87
19850202    -2.09    -2.09    -1.83    -0.87     0.26     1.54     2.29     1.68     0.58    -0.75
19850207    -1.84    -3.20    -3.11    -2.57    -1.36     0.61     2.74     3.16     2.32     0.68
19850212    -0.26    -2.55    -2.95    -3.19    -2.59    -0.99     1.59     3.06     3.10     2.13
19850217     1.54    -0.76    -1.43    -2.48    -2.85    -2.35    -0.39     1.63     2.62     2.79
19850222     1.76     0.80     0.33    -0.59    -1.31    -1.77    -1.34    -0.19     0.79     1.56
19850227     0.36     0.19     0.21    -0.09    -0.31    -0.44    -0.35    -0.07     0.16     0.33
19850304     1.12    -0.17    -0.42    -1.26    -1.67    -1.58    -0.55     0.70     1.43     1.70
19850309     0.31     0.92     1.02     0.93     0.63     0.06    -0.69    -0.99    -0.87    -0.47
19850314    -2.04    -1.19    -0.57     0.35     1.18     1.84     1.65     0.55    -0.54    -1.53
19850319    -1.50    -1.34    -0.89    -0.34     0.33     1.07     1.43     0.95     0.21    -0.67
19850324    -0.50    -0.63    -0.36    -0.31    -0.12     0.20     0.51     0.52     0.32    -0.02
19850329    -0.88    -0.63    -0.38    -0.01     0.38     0.74     0.78     0.37    -0.10    -0.56
19850403    -1.31    -1.47    -1.30    -0.78    -0.07     0.83     1.50     1.26     0.59    -0.30
19850408    -0.45    -1.35    -1.31    -1.33    -0.97    -0.18     0.94     1.44     1.31     0.72
19850413     0.07    -1.27    -1.49    -1.76    -1.55    -0.76     0.66     1.59     1.75     1.33
19850418     0.81    -0.25    -0.51    -1.12    -1.38    -1.22    -0.34     0.66     1.19     1.34
19850423     0.21     0.47     0.41     0.38     0.25    -0.02    -0.35    -0.46    -0.39    -0.18
19850428    -0.26     0.35     0.45     0.65     0.68     0.47    -0.06    -0.50    -0.68    -0.66
19850503    -0.52     0.02     0.43     0.59     0.65     0.56     0.15    -0.30    -0.56    -0.68
19850508    -0.65    -0.09     0.14     0.53     0.76     0.79     0.38    -0.21    -0.59    -0.79
19850513    -1.05    -1.24    -1.11    -0.70    -0.12     0.63     1.22     1.07     0.56    -0.18
19850518    -1.10    -1.82    -1.69    -1.39    -0.71     0.37     1.54     1.74     1.25     0.31
19850523    -0.66    -1.59    -1.51    -1.48    -1.02    -0.09     1.14     1.63     1.40     0.68
19850528     1.31    -0.18    -0.56    -1.44    -1.88    -1.77    -0.63     0.78     1.60     1.93
19850602     1.40     0.87     0.44    -0.19    -0.77    -1.25    -1.15    -0.41     0.33     1.02
19850607     0.24    -0.11    -0.32    -0.42    -0.43    -0.32    -0.02     0.27     0.40     0.41
19850612     0.53    -1.01    -1.22    -1.81    -1.86    -1.26     0.21     1.44     1.88     1.70
19850617     0.72    -0.92    -1.27    -1.92    -2.02    -1.46     0.07     1.42     1.95     1.85
19850622     1.45     0.13    -0.21    -1.16    -1.73    -1.82    -0.89     0.46     1.35     1.83
19850627     1.52     1.73     1.51     0.86     0.02    -1.02    -1.75    -1.44    -0.67     0.36
19850702     0.50     0.49     0.38     0.18    -0.07    -0.35    -0.51    -0.37    -0.12     0.19
19850707     0.02    -0.25    -0.28    -0.36    -0.34    -0.20     0.09     0.29     0.34     0.26
19850712     0.12    -0.14    -0.16    -0.29    -0.33    -0.24     0.00     0.23     0.33     0.31
19850717    -0.51    -0.14    -0.05     0.31     0.54     0.63     0.39    -0.05    -0.37    -0.56
19850722    -0.85    -0.03     0.10     0.70     1.06     1.09     0.52    -0.31    -0.84    -1.12
19850727     0.12    -0.06    -0.13    -0.20    -0.22    -0.18    -0.02     0.15     0.22     0.22
19850801     0.40     0.34     0.29     0.08    -0.14    -0.35    -0.43    -0.26    -0.04     0.21
19850806     0.12     0.06     0.04    -0.05    -0.12    -0.17    -0.13    -0.03     0.05     0.11
19850811    -0.47    -0.91    -0.84    -0.79    -0.50     0.04     0.71     0.92     0.74     0.29
19850816     0.16    -0.19    -0.27    -0.40    -0.43    -0.31     0.01     0.30     0.42     0.40
19850821     0.33     0.19     0.01    -0.10    -0.20    -0.28    -0.21    -0.04     0.12     0.25
19850826     0.30    -0.19    -0.28    -0.53    -0.62    -0.52    -0.09     0.35     0.56     0.59
19850831     0.43    -0.69    -0.82    -1.27    -1.35    -0.96     0.09     1.00     1.35     1.25
19850905     0.02    -0.36    -0.33    -0.47    -0.46    -0.27     0.13     0.43     0.50     0.39
19850910    -0.07    -0.66    -0.64    -0.79    -0.69    -0.31     0.35     0.77     0.81     0.57
19850915     0.08    -0.55    -0.64    -0.81    -0.75    -0.41     0.25     0.72     0.83     0.66
19850920    -0.13    -0.40    -0.38    -0.39    -0.29    -0.06     0.26     0.41     0.37     0.20
19850925    -0.21    -0.01    -0.06     0.12     0.24     0.28     0.16    -0.05    -0.20    -0.27
19850930    -0.45    -0.59    -0.58    -0.40    -0.13     0.24     0.56     0.53     0.31    -0.03
19851005    -0.36    -0.89    -1.01    -0.88    -0.55     0.02     0.73     0.96     0.80     0.38
19851010     0.20    -0.63    -0.86    -1.07    -1.00    -0.58     0.27     0.89     1.05     0.88
19851015     1.22     0.49     0.23    -0.48    -1.02    -1.32    -0.95    -0.08     0.63     1.15
19851020     1.20     1.32     1.14     0.63    -0.03    -0.83    -1.38    -1.12    -0.50     0.31
19851025    -0.62     0.94     1.15     1.79     1.88     1.32    -0.15    -1.43    -1.91    -1.77
19851030    -2.26    -0.22     0.31     1.76     2.63     2.77     1.37    -0.70    -2.07    -2.81
19851104    -2.54    -2.47    -2.08    -0.97     0.35     1.86     2.71     1.96     0.64    -0.96
19851109     0.22    -1.20    -1.35    -1.76    -1.66    -0.94     0.50     1.55     1.81     1.47
19851114     1.73     0.61     0.21    -0.79    -1.51    -1.88    -1.28     0.00     1.00     1.72
19851119     1.11     1.28     1.22     0.71     0.05    -0.77    -1.37    -1.16    -0.57     0.22
19851124    -0.31     0.26     0.44     0.63     0.66     0.47    -0.03    -0.48    -0.67    -0.66
19851129    -0.62    -0.33    -0.16     0.13     0.39     0.57     0.48     0.13    -0.21    -0.50
19851204    -0.20    -0.32    -0.29    -0.25    -0.13     0.07     0.28     0.32     0.23     0.06
19851209     0.45     0.43     0.37     0.15    -0.08    -0.35    -0.48    -0.33    -0.10     0.18
19851214     0.40     0.08     0.08    -0.26    -0.47    -0.55    -0.33     0.05     0.32     0.47
19851219    -0.37     0.11     0.27     0.51     0.61     0.51     0.11    -0.33    -0.56    -0.62
19851224    -0.20     0.51     0.69     0.91     0.88     0.54    -0.18    -0.74    -0.90    -0.78
19851229    -1.13    -0.33    -0.10     0.58     1.06     1.27     0.81    -0.06    -0.73    -1.18
19860103    -1.40    -1.91    -1.74    -1.24    -0.42     0.73     1.77     1.72     1.06     0.00
19860108    -1.43    -2.82    -2.87    -2.45    -1.41     0.33     2.34     2.86     2.22     0.83
19860113     1.33    -0.49    -0.96    -1.89    -2.27    -1.97    -0.47     1.17     2.03     2.25
19860118     1.22     0.57     0.27    -0.41    -0.94    -1.29    -1.00    -0.17     0.54     1.08
19860123     1.50     1.59     1.45     0.73    -0.12    -1.11    -1.72    -1.31    -0.51     0.48
19860128     0.89     1.37     1.34     1.02     0.44    -0.41    -1.25    -1.31    -0.88    -0.15
19860202    -0.21     0.42     0.52     0.71     0.71     0.45    -0.13    -0.59    -0.75    -0.67
19860207    -0.99    -0.53    -0.20     0.24     0.61     0.89     0.74     0.18    -0.34    -0.78
19860212    -0.44    -0.59    -0.51    -0.35    -0.10     0.23     0.53     0.50     0.29    -0.03
19860217    -0.40    -0.12    -0.11     0.16     0.36     0.45     0.32     0.02    -0.23    -0.41
19860222    -0.71     0.16     0.47     0.87     1.05     0.92     0.25    -0.51    -0.93    -1.08
19860227    -1.10    -0.15     0.08     0.79     1.24     1.34     0.71    -0.28    -0.95    -1.34
19860304    -1.22    -1.08    -0.94    -0.32     0.33     0.99     1.27     0.81     0.15    -0.59
19860309    -1.92    -1.63    -1.43    -0.44     0.58     1.61     1.99     1.20     0.14    -0.99
19860314    -1.30    -2.05    -1.99    -1.54    -0.70     0.56     1.84     1.98     1.37     0.27
19860319    -0.03    -1.94    -2.19    -2.58    -2.25    -1.06     1.05     2.39     2.57     1.88
19860324     0.92    -0.61    -0.95    -1.66    -1.89    -1.51    -0.18     1.14     1.77     1.82
19860329     1.31     0.29    -0.05    -0.82    -1.34    -1.51    -0.87     0.21     0.98     1.46
19860403     0.98     0.88     0.79     0.28    -0.26    -0.81    -1.04    -0.66    -0.12     0.47
19860408     0.44     0.09     0.04    -0.27    -0.46    -0.52    -0.29     0.10     0.37     0.52
19860413     1.11     0.84     0.73     0.10    -0.49    -1.02    -1.11    -0.56     0.06     0.69
19860418     0.04     0.51     0.62     0.67     0.55     0.22    -0.31    -0.62    -0.63    -0.44
19860423    -0.89    -1.02    -0.67    -0.45    -0.06     0.49     0.92     0.80     0.41    -0.17
19860428    -0.51    -1.59    -1.64    -1.60    -1.14    -0.17     1.14     1.71     1.54     0.86
19860503     0.42    -0.61    -0.84    -1.20    -1.23    -0.85     0.10     0.91     1.22     1.14
19860508     0.96     0.19    -0.07    -0.65    -1.03    -1.13    -0.62     0.20     0.77     1.12
19860513     1.52     1.15     0.96     0.12    -0.67    -1.39    -1.50    -0.75     0.10     0.94
19860518     1.56     1.19     1.00     0.17    -0.64    -1.37    -1.52    -0.79     0.06     0.93
19860523     1.13     2.41     2.34     2.15     1.37    -0.07    -1.85    -2.45    -2.01    -0.86
19860528    -1.02     0.65     0.94     1.78     2.08     1.70     0.26    -1.20    -1.91    -2.00
19860602    -1.19    -0.30     0.05     0.70     1.16     1.31     0.79    -0.13    -0.82    -1.28
19860607    -0.51    -0.81    -0.60    -0.53    -0.28     0.16     0.65     0.74     0.54     0.13
19860612    -0.50    -1.31    -1.26    -1.22    -0.85    -0.07     0.95     1.36     1.19     0.60
19860617     0.80    -0.44    -0.70    -1.32    -1.54    -1.27    -0.21     0.88     1.42     1.50
19860622     2.19     0.99     0.43    -0.74    -1.66    -2.22    -1.68    -0.23     0.99     1.95
19860627     1.31     1.84     1.66     1.24     0.49    -0.61    -1.67    -1.69    -1.08    -0.07
19860702     0.53     1.31     1.28     1.22     0.83     0.06    -0.96    -1.35    -1.16    -0.56
19860707    -0.59    -0.53    -0.48    -0.18     0.14     0.47     0.62     0.40     0.07    -0.28
19860712     0.46    -0.83    -1.10    -1.55    -1.56    -1.05     0.19     1.22     1.57     1.42
19860717     1.22     0.80     0.44    -0.10    -0.61    -1.06    -1.03    -0.43     0.21     0.82
19860722     0.63     0.69     0.55     0.33     0.01    -0.40    -0.70    -0.59    -0.28     0.15
19860727     0.03    -0.03     0.00    -0.06    -0.09    -0.08    -0.03     0.03     0.07     0.07
19860801     0.52    -0.21    -0.37    -0.75    -0.91    -0.79    -0.20     0.46     0.80     0.89
19860806     0.95     0.85     0.72     0.26    -0.23    -0.74    -0.98    -0.64    -0.14     0.44
19860811     1.31     1.40     1.08     0.59    -0.06    -0.86    -1.40    -1.12    -0.48     0.37
19860816     1.12     1.35     1.14     0.71     0.10    -0.70    -1.31    -1.14    -0.58     0.19
19860821     0.71     1.17     1.12     0.90     0.46    -0.25    -0.99    -1.11    -0.79    -0.19
19860826     0.14     0.90     0.96     1.05     0.85     0.30    -0.56    -1.04    -1.04    -0.69
19860831     0.29     0.43     0.45     0.31     0.11    -0.16    -0.40    -0.39    -0.24    -0.01
19860905     0.31    -0.55    -0.62    -0.97    -1.02    -0.71     0.10     0.79     1.06     0.97
19860910     1.07     0.12    -0.16    -0.82    -1.23    -1.30    -0.65     0.31     0.95     1.31
19860915     1.57     1.04     0.81    -0.06    -0.84    -1.48    -1.45    -0.59     0.30     1.11
19860920     1.31     1.49     1.37     0.82     0.08    -0.83    -1.52    -1.29    -0.63     0.28
19860925    -0.48     0.70     0.92     1.39     1.45     1.02    -0.10    -1.07    -1.44    -1.33
19860930    -0.65    -0.19    -0.08     0.34     0.63     0.76     0.48    -0.05    -0.44    -0.70
19861005     0.36     0.47     0.42     0.29     0.08    -0.20    -0.45    -0.43    -0.25     0.02
19861010     0.22     0.53     0.53     0.48     0.30    -0.03    -0.43    -0.57    -0.47    -0.22
19861015     0.51     0.46     0.49     0.17    -0.15    -0.46    -0.59    -0.36    -0.05     0.26
19861020     0.24     0.27     0.20     0.13     0.01    -0.14    -0.27    -0.24    -0.12     0.04
19861025    -0.71    -0.50    -0.37    -0.01     0.32     0.63     0.64     0.28    -0.11    -0.47
19861030     0.08    -0.87    -1.03    -1.25    -1.12    -0.58     0.42     1.09     1.22     0.95
19861104     1.52    -0.13    -0.63    -1.61    -2.11    -2.01    -0.75     0.83     1.76     2.16
19861109     2.39     0.96     0.40    -0.96    -1.99    -2.57    -1.84    -0.14     1.24     2.26
19861114     2.32     1.88     1.53     0.37    -0.81    -1.97    -2.31    -1.32    -0.06     1.26
19861119     0.84     1.56     1.61     1.34     0.74    -0.23    -1.32    -1.57    -1.19    -0.40
19861124    -0.47     0.46     0.66     1.05     1.13     0.85     0.01    -0.76    -1.10    -1.07
19861129    -0.76    -0.55    -0.42    -0.06     0.31     0.65     0.73     0.38    -0.04    -0.46
19861204     0.75     0.45     0.40    -0.03    -0.40    -0.69    -0.65    -0.23     0.19     0.57
19861209     0.17    -0.30    -0.26    -0.45    -0.49    -0.33     0.06     0.40     0.54     0.51
19861214     0.28    -0.17    -0.19    -0.42    -0.52    -0.43    -0.08     0.29     0.49     0.53
19861219     0.38     0.51     0.63     0.42     0.15    -0.19    -0.51    -0.49    -0.29     0.01
19861224    -0.11     0.42     0.56     0.71     0.67     0.41    -0.15    -0.56    -0.68    -0.55
19861229    -0.44     0.11     0.33     0.60     0.71     0.62     0.15    -0.36    -0.62    -0.69
19870103    -0.04    -0.42    -0.46    -0.47    -0.38    -0.12     0.26     0.47     0.48     0.34
19870108     0.07    -0.46    -0.63    -0.71    -0.62    -0.30     0.25     0.62     0.68     0.54
19870113     0.73     0.04    -0.11    -0.60    -0.90    -0.94    -0.46     0.24     0.71     0.94
19870118     0.28     0.00    -0.08    -0.25    -0.35    -0.35    -0.16     0.10     0.27     0.36
19870123    -0.18    -0.55    -0.56    -0.57    -0.42    -0.09     0.38     0.60     0.55     0.31
19870128     0.87     0.20     0.04    -0.52    -0.89    -1.03    -0.62     0.10     0.63     0.97
19870202     1.65     1.45     1.24     0.42    -0.45    -1.36    -1.72    -1.09    -0.20     0.79
19870207     1.30     1.84     1.87     1.33     0.48    -0.69    -1.76    -1.75    -1.09    -0.06
19870212     0.60     1.09     1.15     0.94     0.50    -0.19    -0.95    -1.11    -0.83    -0.27
19870217     0.71     0.51     0.50     0.07    -0.32    -0.66    -0.70    -0.34     0.07     0.47
19870222     1.91     1.07     0.78    -0.29    -1.20    -1.88    -1.67    -0.54     0.55     1.50
19870227     2.18     2.21     2.01     1.01    -0.20    -1.57    -2.42    -1.83    -0.68     0.74
19870304    -0.01     1.21     1.33     1.63     1.45     0.72    -0.62    -1.50    -1.64    -1.22
19870309    -1.57    -0.52    -0.23     0.73     1.42     1.77     1.19    -0.01    -0.95    -1.60
19870314    -1.33    -1.37    -1.23    -0.63     0.10     0.95     1.47     1.10     0.41    -0.45
19870319     0.62    -0.30    -0.50    -0.96    -1.14    -0.96    -0.19     0.62     1.02     1.11
19870324     0.38     1.02     1.12     1.04     0.70     0.07    -0.77    -1.10    -0.96    -0.49
19870329    -0.83     0.01     0.23     0.78     1.09     1.09     0.47    -0.37    -0.89    -1.13
19870403    -0.60    -0.19    -0.14     0.25     0.54     0.69     0.48     0.01    -0.36    -0.62
19870408     0.90     1.07     1.01     0.62     0.09    -0.57    -1.08    -0.94    -0.48     0.16
19870413     1.64     2.17     2.09     1.43     0.43    -0.92    -2.10    -2.00    -1.18     0.07
19870418     0.57     1.30     1.29     1.22     0.81     0.04    -0.98    -1.36    -1.16    -0.53
19870423     0.08     0.97     0.82     1.15     1.08     0.57    -0.42    -1.11    -1.22    -0.89
19870428    -0.70     0.48     0.58     1.24     1.49     1.23     0.20    -0.87    -1.39    -1.43
19870503    -0.52    -0.18    -0.13     0.21     0.46     0.58     0.41     0.02    -0.29    -0.52
19870508     0.23     0.21     0.29     0.13    -0.04    -0.21    -0.30    -0.21    -0.06     0.11
19870513     0.57     0.96     0.97     0.80     0.41    -0.19    -0.85    -0.98    -0.72    -0.20
19870518    -0.50     1.33     1.70     2.26     2.18     1.34    -0.48    -1.88    -2.30    -1.97
19870523    -1.49    -0.46    -0.09     0.78     1.40     1.67     1.07    -0.08    -0.96    -1.54
19870528    -1.12    -1.48    -1.20    -0.87    -0.29     0.55     1.31     1.27     0.77    -0.04
19870602    -0.46    -1.27    -1.31    -1.23    -0.85    -0.07     0.93     1.32     1.14     0.60
19870607     0.96     0.09    -0.10    -0.73    -1.12    -1.19    -0.60     0.28     0.88     1.20
19870612     1.13     0.49     0.21    -0.41    -0.89    -1.17    -0.87    -0.10     0.54     1.04
19870617     0.43     0.69     0.67     0.52     0.24    -0.18    -0.61    -0.66    -0.45    -0.09
19870622     0.11     0.48     0.63     0.59     0.42     0.10    -0.36    -0.57    -0.52    -0.31
19870627     0.49     0.75     0.91     0.62     0.23    -0.28    -0.76    -0.75    -0.48    -0.05
19870702     1.35     1.23     0.91     0.35    -0.29    -0.99    -1.33    -0.89    -0.21     0.59
19870707     0.20     0.86     0.85     0.92     0.73     0.23    -0.52    -0.92    -0.90    -0.57
19870712     0.64     0.81     0.81     0.51     0.11    -0.40    -0.80    -0.72    -0.39     0.08
19870717     1.13     1.71     1.72     1.28     0.55    -0.51    -1.56    -1.62    -1.08    -0.15
19870722    -0.03     1.28     1.45     1.74     1.54     0.77    -0.65    -1.58    -1.73    -1.30
19870727    -0.37     1.42     1.62     2.21     2.14     1.30    -0.52    -1.91    -2.29    -1.91
19870801    -1.20     0.62     0.95     1.92     2.28     1.92     0.36    -1.28    -2.09    -2.23
19870806    -1.93    -0.76    -0.36     0.76     1.60     2.07     1.49     0.12    -1.00    -1.83
19870811    -1.43    -1.22    -0.97    -0.30     0.40     1.15     1.42     0.86     0.10    -0.72
19870816    -0.73    -1.13    -1.12    -0.84    -0.37     0.34     1.02     1.06     0.71     0.12
19870821     0.37    -0.39    -0.44    -0.83    -0.94    -0.72    -0.02     0.64     0.92     0.90
19870826     1.19     0.09    -0.09    -0.92    -1.43    -1.51    -0.76     0.36     1.12     1.52
19870831     2.21     1.71     1.40     0.25    -0.87    -1.92    -2.17    -1.17     0.05     1.30
19870905     0.49     0.74     0.77     0.53     0.19    -0.26    -0.68    -0.68    -0.44    -0.04
19870910     0.38     0.47     0.46     0.28     0.06    -0.22    -0.45    -0.39    -0.21     0.06
19870915    -0.10     0.07     0.21     0.24     0.22     0.16    -0.02    -0.17    -0.22    -0.20
19870920    -1.13    -0.35    -0.06     0.61     1.07     1.28     0.81    -0.08    -0.74    -1.18
19870925    -1.24    -0.72    -0.49     0.21     0.79     1.23     1.10     0.37    -0.34    -0.95
19870930     0.04    -0.07     0.00    -0.10    -0.14    -0.12    -0.01     0.10     0.15     0.14
19871005    -0.11    -0.12     0.04     0.00     0.00     0.03     0.06     0.06     0.03    -0.02
19871010    -0.54    -0.51    -0.45    -0.18     0.12     0.44     0.60     0.41     0.12    -0.22
19871015    -0.24    -0.42    -0.32    -0.30    -0.18     0.05     0.33     0.41     0.32     0.11
19871020     0.21    -0.18    -0.19    -0.40    -0.47    -0.37    -0.03     0.31     0.47     0.47
19871025    -0.07     0.24     0.21     0.37     0.39     0.27    -0.05    -0.33    -0.42    -0.35
19871030    -1.62    -0.77    -0.54     0.42     1.18     1.68     1.35     0.27    -0.67    -1.42
19871104    -0.78    -1.69    -1.75    -1.56    -0.97     0.08     1.34     1.74     1.41     0.61
19871109     0.35    -1.04    -1.26    -1.70    -1.66    -1.02     0.36     1.43     1.74     1.48
19871114     1.84     0.60     0.18    -0.90    -1.68    -2.03    -1.33     0.07     1.14     1.88
19871119     1.43     1.08     0.88     0.12    -0.61    -1.28    -1.39    -0.71     0.08     0.87
19871124     0.95     0.89     0.77     0.31    -0.20    -0.75    -1.01    -0.68    -0.17     0.41
19871129    -0.28     0.19     0.25     0.47     0.56     0.47     0.09    -0.30    -0.50    -0.54
19871204    -0.77    -0.95    -0.92    -0.58    -0.11     0.49     0.98     0.87     0.47    -0.09
19871209     0.08    -1.21    -1.45    -1.71    -1.50    -0.73     0.65     1.55     1.69     1.28
19871214     0.99    -0.29    -0.57    -1.29    -1.62    -1.45    -0.42     0.77     1.42     1.61
19871219     1.74     0.31    -0.07    -1.14    -1.85    -2.06    -1.16     0.33     1.38     2.02
19871224     2.17     1.68     1.43     0.28    -0.85    -1.91    -2.17    -1.18     0.03     1.27
19871229     0.94     1.37     1.45     1.00     0.36    -0.52    -1.32    -1.31    -0.83    -0.07
19880103     0.03     0.48     0.63     0.63     0.50     0.19    -0.29    -0.56    -0.58    -0.41
19880108     0.54     0.59     0.65     0.32    -0.03    -0.41    -0.65    -0.49    -0.19     0.17
19880113    -0.23    -0.03     0.14     0.24     0.28     0.27     0.10    -0.10    -0.22    -0.28
19880118    -1.13    -1.27    -1.22    -0.66     0.01     0.83     1.38     1.10     0.49    -0.28
19880123    -1.08    -1.90    -1.86    -1.55    -0.84     0.32     1.60     1.87     1.39     0.42
19880128    -0.36    -1.61    -1.72    -1.81    -1.40    -0.40     1.08     1.83     1.76     1.10
19880202     0.67    -0.29    -0.52    -1.01    -1.20    -1.02    -0.21     0.64     1.08     1.18
19880207     0.88     0.02    -0.18    -0.79    -1.13    -1.14    -0.52     0.35     0.90     1.17
19880212     1.27     0.51     0.23    -0.51    -1.07    -1.39    -1.00    -0.09     0.65     1.20
19880217     0.75     0.46     0.46    -0.04    -0.47    -0.79    -0.75    -0.28     0.18     0.57
